id,estado_id,cliente_id,usuario_id,nombre,descripcion,centrocostos,fechaModificacion
1,1,1,NULL,DEMO,Programa de demostración,1710,NULL
3,NULL,4,NULL,PITS ,Programa de incentivos para los Administradores,3100,NULL
4,NULL,10,NULL,BI-CHC,Programa de incentivos ,4000,NULL
8,NULL,15,NULL,Formula ganadora,Programa de incentivos,7601,NULL
9,NULL,16,NULL,Ganas porque Ganas con Kellogs,Programa de incentivos,7202,NULL
10,NULL,17,NULL,Tu esfuerzo vale,Programa de incentivos,6902,NULL
11,NULL,18,NULL,Salimos contoda 2015,programa de incentivos,1806,NULL
12,NULL,19,NULL,a ganar  deliciosa mente,programa de incentivos,1710,NULL
13,NULL,20,NULL,MARITZ,Programa de incentivos,7000,NULL
14,NULL,21,NULL,A la fija con BDF 2015,Programa de incentivos,3506,NULL
15,NULL,21,NULL,PLAN ELITE 2015,Programa de incentivos,3507,NULL
16,NULL,22,NULL,Que Equipazo 2015,Programa de incentivos,7701,NULL
17,NULL,23,NULL,SOCIO ESTRELLA 2015,Programa de incentivos,6402,NULL
18,NULL,14,NULL,Brinsa premium,programa de incentivos,6703,NULL
19,NULL,14,NULL,Brinsa club,programas de incentivos,6704,NULL
20,NULL,24,NULL,Socios Nutresa Autoservicios,Programa de incentivos,5808,NULL
21,NULL,25,NULL,FANATIKOS,Programa de incentivos,6105,NULL
22,NULL,26,NULL,Conquistadores QBE,"Programa de incentivos dirigidos a los asesores comerciales o brokers de seguros, f&i y asesores f&i que los premia por la colocación de pólizas de vehículos con QBE",1007-5101,NULL
23,NULL,27,NULL,Casaluker Comercial,Programa de redención de puntos,2033,NULL
24,NULL,27,NULL,Casaluker Mercaderistas,Catalogo de redención de puntos,2032,NULL
25,NULL,27,NULL,Casaluker Águilas,Catalogo redención de puntos,2033,NULL
26,NULL,28,NULL,HERO,Catalogo de redención de puntos,7801,NULL
27,NULL,1,NULL,prueba,Prueba,7777,NULL
29,NULL,1,NULL,prueba,Prueba,6799,NULL
30,NULL,29,NULL,EXPEDICIÓN AL ÉXITO,CATALOG DE PUNTOS,5304,NULL
31,NULL,25,NULL,Club Huggies,Catalogo,6109,NULL
32,NULL,30,4,Socios & Amigos internacionales,tiqueteadores / agencias de viajes,2703,2016-02-01 11:50:58
33,NULL,24,NULL,Nutresa,Catalogo de redención de sellos,5807,NULL
34,NULL,24,NULL,Nutresa,Catalogo de redención de sellos,5807,NULL
35,NULL,31,NULL,Socios Nutresa Amigos para crecer tiendas,Catatalogo sellos,5807,NULL
36,NULL,32,13,Catalogo Incentivos,Catalogo de redención de estrellas,1017,2015-09-28 14:42:18
37,NULL,17,13,Allus,Catalogo de redención de puntos,6903,2015-10-08 08:51:21
38,NULL,32,4,iNCENTIVATE,PROGRAM INTERNO,1017,2015-11-17 16:27:47
39,NULL,30,4,Socios & Amigos Colombia,tiqueteadores / agencias de viajes,2702,2016-02-01 11:51:57
40,NULL,34,13,Club McCain,Catalogo de redención de puntos de McCain,8201,2016-01-04 08:50:08
41,NULL,16,13,Ganas Porque Ganas,Catalogo de redención de puntos,7203,2016-01-06 14:21:21
42,NULL,35,13,Ganas Porque Ganas 2016,Catalogo Redención de puntos,7203,2016-01-06 14:22:16
43,NULL,24,13,Socios Nutresa Minimercados Bogota ,catalogo de redención de puntos,5804,2016-06-28 09:33:25
44,NULL,36,13,PLAN ELITE 2016 DUEÑOS ,catalogo de pre redenciones,3509,2016-01-18 11:17:28
45,NULL,36,13,PLAN ELITE 2016 DEPENDIENTE,Catalogo de acumulación de puntos,3509,2016-01-18 11:49:05
46,NULL,24,13,Socios Nutresa amigos para crecer Mayoristas 2016,Catalogo de  premios inmediatos,5810,2016-07-26 09:10:39
47,NULL,18,14,Salimos con toda 2016,catalogo de redención de puntos,1807,2016-02-05 11:56:13
48,NULL,37,13,Catalogos internacionales Av Bussines,Catalogo Internacionales,8000,2016-01-25 09:52:46
49,NULL,37,13,Catalogos internacionales EDENRED,Catálogos internacionales,7002,2016-01-25 09:53:56
50,NULL,37,13,Catalogos internacionales MARITZ,catalogo de MARITZ,7000,2016-01-25 09:54:50
51,NULL,24,13,Socios Nutresa amigos para crecer Autoservicios  2016,Catalogo Autoservicios,5812,2016-01-27 12:26:41
52,NULL,25,13,Fanatikos 2016,catalogo redencion de puntos,6111,2016-01-27 14:11:30
53,NULL,25,13,Club mayoristas,catalogo de redención de puntos,6113,2016-01-27 14:12:47
54,NULL,25,13,Club pañalero 2016,catalogo de redención de puntos,6112,2016-01-27 14:14:10
55,NULL,39,13,CONECTADOS CON SANOFI,Programa de lealtad,8301,2016-02-02 10:15:43
56,NULL,9,13,PITS 2015,CATALOGO DE REDENCIÓN,4309,2016-02-02 14:51:35
57,NULL,41,13,Allus 2016,NULL,6905,2016-02-08 10:30:00
58,NULL,42,13,Encantados,Programa de visitas.,123456,2016-02-09 11:50:45
59,NULL,43,13,PITS COPEC ,Programa dirigido a los atendedores de las estaciones de servicio de Chile,12345678,2016-05-17 11:51:03
60,NULL,44,13,Socio estrella 2016,Compras,6404,2016-02-17 11:15:21
61,NULL,19,13,A ganar 2016,Programa de incentivos,1711,2016-03-02 15:21:41
62,NULL,9,13,PITS 2016,Programa de incentivos,4312,2016-03-03 10:57:04
63,NULL,9,13,Altoque 2016,Programa de incentivos,4311,2016-03-03 10:59:12
64,NULL,9,13,Carrera de Gazelas 2016,Programa de incentivos,4409,2016-03-03 11:00:40
65,NULL,21,13,A LA FIJA 2016,Catalogo de  recargas,3508,2016-03-31 12:45:25
66,NULL,45,13,Preferidos,Catalogo de Preferidos Asesores y Directivos de venta,8401,2016-04-11 07:30:17
67,NULL,46,13,Socios Nutresa Consumo Local,,5815,2016-04-28 16:15:06
68,NULL,47,13,Merial,Catalogo para clínicas veterinarias y pets shops,8601,2016-06-17 12:10:47
69,NULL,48,13,Preferidos - Prabyc 2016,Catálogo para redención de puntos para Referidos y Clientes.,8701,2016-06-09 16:24:34
70,NULL,48,13,Cazadores,programa dirigido a vendedores.,8702,2016-06-28 15:19:55
71,NULL,17,13,Tu esfuerzo vale 2016,"No hay catalogo porque el plan paga por total pass
 solo es para hacer solicitudes de cotización, compra, despachos.",6904,2016-06-13 08:02:29
72,NULL,29,13,Expedicion totto 2016 - 2017,Catalo,5305,2016-06-14 09:20:33
73,NULL,24,14,Socios Nutresa Minimercados Pereira,Catalogo de redención,5814,2016-06-29 10:54:13
74,NULL,31,13,Socios Nutresa Tiendas 2016 - 2017,Catalogo redención de estrellas,5813,2016-07-21 09:57:08
75,NULL,34,13,Fuerza Elite,Catalogo redención de puntos.,8201,2016-07-27 12:52:18
76,NULL,19,14,Milla Extra,"Es el programa de incentivos que te llevará exitosamente por un mar de  ventas. Durante esta gran travesía tendrás divertidas actividades abordo,  donde involucrarás y compartirás una experiencia única con tu familia.",1713,2016-08-16 11:11:35
